event_id,latitude,longitude,premise_type,hood_id,occurrence_time_id,reported_time_id,crime_id
191157,43.6556587,-79.3839645,,76,7516,,,
191158,43.662117,-79.3780746,,75,7500,,,
191159,43.6472511,-79.3625641,,77,7500,,,
191160,43.6629181,-79.4415512,,93,11673,,,
191161,43.6516685,-79.432457,,84,996,,,
191162,43.7095299,-79.3991928,,104,6749,,,
191163,43.6618195,-79.3795776,,75,1955,,,
191164,43.7250481,-79.4023895,,105,10311,,,
191165,43.7675667,-79.1826096,,136,10311,,,
191166,43.6657906,-79.415596,,95,4135,,,
191167,43.6350288,-79.5770874,,12,1054,,,
191168,43.6350288,-79.5770874,,12,1054,,,
191169,43.7066422,-79.4462967,,31,790,,,
191170,43.6520615,-79.448288,,86,13863,,,
191171,43.6560402,-79.3624649,,72,6721,,,
191172,43.6206932,-79.5017319,,17,6721,,,
191173,43.776104,-79.1761551,,136,3377,,,
191174,43.6413956,-79.4119415,,82,3377,,,
191175,43.6660385,-79.364357,,71,3377,,,
191176,43.6820602,-79.2908936,,62,3377,,,
191177,43.6573601,-79.3815689,,75,3377,,,
191178,43.660759,-79.386055,,76,15396,,,
191179,43.6560707,-79.3857269,,76,15396,,,
191180,43.6564255,-79.4079208,,81,16176,,,
191181,43.6414299,-79.5578918,,14,13222,,,
191182,43.6414299,-79.5578918,,14,13222,,,
191183,43.6929436,-79.4783478,,112,1425,,,
191184,43.6981087,-79.2730103,,121,2993,,,
191185,43.6981087,-79.2730103,,121,2993,,,
191186,43.6517105,-79.3662872,,73,16227,,,
191187,43.7066765,-79.3985672,,100,13748,,,
191188,43.6492729,-79.3663101,,77,13748,,,
191189,43.6556587,-79.3839645,,76,43,,,
191190,43.7090454,-79.4172287,,103,6714,,,
191191,43.6490936,-79.3781204,,75,6714,,,
191192,43.6667557,-79.388443,,76,6714,,,
191193,43.7201843,-79.3912354,,103,13768,,,
191194,43.6409683,-79.4347153,,85,50346,,,
191195,43.7204056,-79.4563675,,31,50346,,,
191196,43.8153038,-79.2642212,,129,6145,,,
191197,43.6330414,-79.5135117,,16,13144,,,
191198,43.6720543,-79.4965515,,111,9801,,,
191199,43.6724434,-79.3555756,,68,1268,,,
191200,43.6411819,-79.4230499,,84,1268,,,
191201,43.6591568,-79.4388657,,93,1268,,,
191202,43.6916466,-79.3036041,,60,6781,,,
191203,43.6401482,-79.3946304,,77,11836,,,
191204,43.681427,-79.3325806,,66,6085,,,
191205,43.6556587,-79.3839645,,76,16113,,,
191206,43.6399536,-79.4146652,,82,10324,,,
191207,43.6393814,-79.4426956,,85,10707,,,
191208,43.6492767,-79.4209824,,81,10707,,,
191209,43.6911774,-79.288559,,61,10295,,,
191210,43.6556587,-79.3839645,,76,5720,,,
191211,43.6671028,-79.3866882,,76,7107,,,
191212,43.6506271,-79.36689,,77,7107,,,
191213,43.6655884,-79.3879242,,76,7107,,,
191214,43.6556587,-79.3839645,,76,2776,,,
191215,43.6526871,-79.4318771,,84,5646,,,
191216,43.6729355,-79.4023361,,95,5646,,,
191217,43.6411438,-79.5806274,,12,5646,,,
191218,43.6786461,-79.3463135,,68,50242,,,
191219,43.6692162,-79.4182205,,95,5723,,,
191220,43.6653824,-79.3991852,,79,5723,,,
191221,43.641098,-79.377037,,77,10169,,,
191222,43.6342926,-79.5807877,,12,5721,,,
191223,43.6342926,-79.5807877,,12,5721,,,
191224,43.7045135,-79.3970032,,104,3299,,,
191225,43.6006279,-79.518219,,18,5725,,,
191226,43.6569824,-79.381424,,75,13790,,,
191227,43.6717987,-79.4205399,,95,5609,,,
191228,43.6696129,-79.3897095,,76,774,,,
191229,43.6749573,-79.4117355,,96,774,,,
191230,43.6661034,-79.3531113,,68,10301,,,
191231,43.6586037,-79.3697128,,73,6219,,,
191232,43.6613007,-79.3390198,,70,6219,,,
191233,43.7517433,-79.3497696,,42,5653,,,
191234,43.6640549,-79.3986435,,79,5653,,,
191235,43.6305161,-79.4742355,,17,5653,,,
191236,43.6305161,-79.4742355,,17,5653,,,
191237,43.6653824,-79.3991852,,79,5653,,,
191238,43.6687393,-79.3377838,,70,15500,,,
191239,43.6696129,-79.3897095,,76,10334,,,
191240,43.6696129,-79.3897095,,76,10334,,,
191241,43.648571,-79.3740616,,75,10334,,,
191242,43.6598015,-79.3787384,,75,15461,,,
191243,43.6681404,-79.3890686,,76,10704,,,
191244,43.6608887,-79.373764,,73,6008,,,
191245,43.7068939,-79.3662872,,56,6008,,,
191246,43.654007,-79.3801727,,75,6008,,,
191247,43.653656,-79.4949341,,114,2164,,,
191248,43.6643219,-79.3570709,,72,2164,,,
191249,43.6674614,-79.4000397,,95,2164,,,
191250,43.6903458,-79.3493652,,57,13864,,,
191251,43.6583328,-79.3916016,,78,10404,,,
191252,43.6613159,-79.3833084,,76,10404,,,
191253,43.6515198,-79.4377899,,83,13817,,,
191254,43.6706543,-79.2970734,,63,10456,,,
191255,43.6548576,-79.3990326,,78,10457,,,
191256,43.6739311,-79.3945847,,95,10457,,,
191257,43.7810211,-79.3956985,,51,10457,,,
191258,43.6674614,-79.4000397,,79,5724,,,
191259,43.7288742,-79.6059189,,1,5644,,,
191260,43.639286,-79.4515076,,87,6118,,,
191261,43.6643791,-79.3971558,,79,6021,,,
191262,43.6775017,-79.3521652,,67,6021,,,
191263,43.6312675,-79.3575974,,77,6021,,,
191264,43.6625252,-79.3999252,,79,3301,,,
191265,43.6609535,-79.3951187,,79,1611,,,
191266,43.6604576,-79.3876266,,76,1611,,,
191267,43.654007,-79.3801727,,76,49876,,,
191268,43.6610947,-79.4296341,,83,11697,,,
191269,43.7401161,-79.5565338,,3,6142,,,
191270,43.6674614,-79.4000397,,79,6142,,,
191271,43.654007,-79.3801727,,76,6142,,,
191272,43.6681404,-79.3890686,,76,16282,,,
191273,43.6401443,-79.4468765,,87,15233,,,
191274,43.6586456,-79.3901825,,78,15233,,,
191275,43.6672096,-79.3937225,,79,15233,,,
191276,43.6506119,-79.3774414,,75,15233,,,
191277,43.6653824,-79.3991852,,79,10546,,,
191278,43.7045975,-79.3774338,,99,10546,,,
191279,43.7961502,-79.3279419,,117,15499,,,
191280,43.6804047,-79.3991394,,96,15499,,,
191281,43.6640549,-79.3986435,,79,1225,,,
191282,43.7771759,-79.1693573,,136,3418,,,
191283,43.5910034,-79.5292816,,19,3418,,,
191284,43.6909752,-79.3751984,,98,3418,,,
191285,43.6909752,-79.3751984,,98,3418,,,
191286,43.7983627,-79.2283478,,132,786,,,
191287,43.6629677,-79.3839874,,76,786,,,
191288,43.650795,-79.3766708,,75,145,,,
191289,43.6620598,-79.3355331,,70,145,,,
191290,43.6473083,-79.5115585,,16,10565,,,
191291,43.6715546,-79.3807678,,75,10565,,,
191292,43.6569824,-79.381424,,76,10565,,,
191293,43.6932259,-79.3861694,,98,10565,,,
191294,43.7205124,-79.3895264,,103,142,,,
191295,43.6432838,-79.5726776,,13,3845,,,
191296,43.6432838,-79.5726776,,13,3845,,,
191297,43.7074165,-79.3438263,,55,5676,,,
191298,43.7288742,-79.6059189,,1,5676,,,
191299,43.6528625,-79.3771515,,75,9579,,,
191300,43.6457863,-79.4209213,,81,15385,,,
