bike_theft_id,colour,make,model,speed,bike_type,status,cost
600111,BLUWHI,GIANT          ,RAPID 2        ,21,TO,STOLEN,900.0
600112,BRNGLD,OTHER          ,,21,MT,STOLEN,400.0
600113,,TREK           ,820,18,MT,STOLEN,500.0
600114,BLU   ,OTHER          ,PUREFIX        ,1,RG,STOLEN,600.0
600115,BLK   ,RALEIGH        ,UNKNOWN        ,10,MT,STOLEN,300.0
600116,BLK   ,CCM            ,29,21,MT,STOLEN,
600117,RED   ,OTHER          ,STINGER        ,1,EL,STOLEN,1000.0
600118,SIL   ,OTHER          ,UNKNOWN        ,27,OT,STOLEN,630.0
600119,BLU   ,TREK           ,UNKNOWN        ,18,MT,STOLEN,300.0
600120,GRYONG,OTHER          ,UNKNOWN        ,28,RC,STOLEN,1000.0
600121,PLE   ,VAGABOND       ,VITA           ,21,MT,STOLEN,819.0
600122,BLK   ,NORCO          ,,10,MT,STOLEN,500.0
600123,BLUWHI,RALEIGH        ,,18,MT,STOLEN,250.0
600124,BLK   ,GHOST          ,,21,MT,STOLEN,670.0
600125,,CCM            ,LEGACY         ,10,OT,STOLEN,
600126,BLKGRN,SUPERCYCLE     ,UNKNOWN        ,18,MT,STOLEN,159.99
600127,RED   ,FS             ,,10,MT,STOLEN,100.0
600128,REDWHI,NORCO          ,UNKNOWN        ,21,MT,STOLEN,500.0
600129,BLK   ,OTHER          ,,18,MT,STOLEN,100.0
600130,BLK   ,AVIGO          ,BONE COLLECTOR ,1,BM,STOLEN,150.0
600131,,CCM            ,,21,MT,STOLEN,200.0
600132,SIL   ,OTHER          ,ECCLECTIC      ,6,OT,STOLEN,
600133,REDWHI,OTHER          ,,18,MT,STOLEN,
600134,GRY   ,SPECIALIZED    ,CROSS TRAIL    ,12,OT,STOLEN,839.0
600135,WHIRED,GIANT          ,XR21           ,21,MT,STOLEN,1000.0
600136,,GIANT          ,ROAMX2         ,21,MT,STOLEN,999.0
600137,RED   ,SUPERCYCLE     ,,10,MT,STOLEN,200.0
600138,OTH   ,SCHWINN        ,71-1240-2      ,6,FO,STOLEN,200.0
600139,GRN   ,DAYMAK         ,EAGLE          ,0,EL,STOLEN,900.0
600140,SIL   ,OTHER          ,VIA MONTEGA    ,21,OT,STOLEN,100.0
600141,,TREK           ,FUEL EX 8      ,14,MT,STOLEN,6000.0
600142,BLKBLU,GIANT          ,TRANCE X2      ,30,MT,STOLEN,3100.0
600143,GRYRED,SPECIALIZED    ,SIRRUS COMP    ,18,RC,STOLEN,1800.0
600144,REDGRY,OTHER          ,,21,MT,STOLEN,200.0
600145,SILBLU,OTHER          ,,21,OT,STOLEN,250.0
600146,BLUWHI,MOLTEN         ,MONSTER        ,1,OT,STOLEN,
600147,PNK   ,OTHER          ,,1,EL,STOLEN,750.0
600148,WHI   ,OTHER          ,E-BIKE         ,0,EL,STOLEN,1100.0
600149,BLK   ,MOUNTAIN       ,UNK            ,18,MT,STOLEN,300.0
600150,GRY   ,OTHER          ,SPECIALE       ,1,OT,STOLEN,1000.0
600151,BLKWHI,SPECIALIZED    ,STINGER        ,5,EL,STOLEN,800.0
600152,BLKGRY,GIANT          ,ESCAPE 3       ,21,OT,STOLEN,500.0
600153,BLK   ,GARRY FISHER   ,,21,MT,STOLEN,1300.0
600154,BLKSIL,ROSS           ,BOLT           ,1,BM,UNKNOWN,
600155,BLK   ,MARIN OR MARINO,,21,MT,STOLEN,500.0
600156,WHI   ,SPECIALIZED    ,ARIEL          ,21,OT,STOLEN,1000.0
600157,BLKSIL,OTHER          ,,10,RG,STOLEN,806.55
600158,BLK   ,OTHER          ,11 SEEK O M    ,10,RG,STOLEN,1101.05
600159,BLUWHI,OTHER          ,,18,MT,STOLEN,
600160,,OTHER          ,,21,MT,STOLEN,
600161,RED   ,HEAD           ,HEAD           ,6,OT,STOLEN,300.0
600162,BLK   ,FUJI           ,CAMBRIDGE      ,8,RG,STOLEN,2000.0
600163,BLU   ,OTHER          ,CITY CRUISER   ,3,RG,STOLEN,600.0
600164,BLU   ,TREK           ,,18,TO,STOLEN,800.0
600165,BLU   ,TREK           ,7300 INKWELL   ,18,OT,STOLEN,800.0
600166,GLDBRN,BROADIE        ,,21,MT,STOLEN,450.0
600167,REDWHI,CANNONDALE     ,JEKYLL         ,24,MT,STOLEN,3000.0
600168,BLK   ,RALEIGH        ,SPRITE         ,21,MT,STOLEN,300.0
600169,BLKRED,TREK           ,MADONE 6.2     ,12,MT,STOLEN,5000.0
600170,OTH   ,OTHER          ,CHOPPER        ,1,OT,STOLEN,100.0
600171,GRN   ,GIANT`         ,,18,MT,STOLEN,792.0
600172,BLK   ,EMMO           ,EMMO           ,1,EL,STOLEN,560.0
600173,BLK   ,OTHER          ,UNKNOWN        ,18,MT,STOLEN,88.0
600174,LBL   ,BIANCHI        ,SPORT SX       ,12,RC,STOLEN,250.0
600175,BLK   ,OTHER          ,MONACO         ,1,EL,STOLEN,1200.0
600176,ONG   ,PEUGOT         ,ROAD BIKE      ,1,RC,STOLEN,400.0
600177,,UNKNOWN MAKE   ,,18,OT,STOLEN,200.0
600178,WHI   ,CCM            ,,10,MT,STOLEN,450.0
600179,BLUWHI,OTHER          ,,18,OT,STOLEN,500.0
600180,BLK   ,EMMO           ,GT5            ,0,EL,UNKNOWN,500.0
600181,GRY   ,FUJI           ,UNKNOWN        ,12,MT,STOLEN,100.0
600182,ONG   ,CCM            ,MUD SLIDE      ,15,RG,STOLEN,
600183,BLK   ,UNKNOWN MAKE   ,NONE           ,1,OT,STOLEN,
600184,BLK   ,KHS            ,TR-101         ,18,RG,STOLEN,1200.0
600185,RED   ,RALEIGH        ,U/K            ,21,RG,STOLEN,600.0
600186,RED   ,SCHWINN        ,,21,OT,STOLEN,299.0
600187,SIL   ,CCM            ,,0,OT,STOLEN,300.0
600188,,GIANT          ,ESCAPE 3       ,21,OT,STOLEN,400.0
600189,BLUWHI,CC             ,VANDAL24       ,21,MT,UNKNOWN,
600190,,OTHER          ,,18,MT,RECOVERED,600.0
600191,,GIANT          ,NRS COMP       ,21,MT,STOLEN,9500.0
600192,ONG   ,UNKNOWN        ,UNKNOWN        ,2,EL,STOLEN,1200.0
600193,BLK   ,GLOBE          ,VIENNA 3       ,18,OT,STOLEN,900.0
600194,GLD   ,AMMO           ,30XL           ,4,EL,STOLEN,2700.0
600195,REDBLK,SPECIALIZED    ,CROSS TRAIL    ,24,MT,STOLEN,600.0
600196,,UNKNOWN MAKE   ,U/K            ,5,EL,STOLEN,900.0
600197,BLU   ,CANNONDALE     ,,10,MT,STOLEN,4000.0
600198,BLU   ,OTHER          ,WALMART        ,5,RG,STOLEN,160.0
600199,SIL   ,"KONA
          ",,21,MT,STOLEN,800.0
600200,BLK   ,CANNONDALE     ,QUICK 5        ,21,MT,STOLEN,900.0
600201,WHIPLE,CANNONDALE     ,QUICK SI       ,21,MT,STOLEN,900.0
600202,BLU   ,NONE           ,NONE           ,0,OT,STOLEN,
600203,BRZGRN,RALEIGH        ,SUPERBE        ,1,OT,STOLEN,400.0
600204,LGR   ,JAMIS          ,XCT            ,27,MT,STOLEN,1600.0
600205,BLU   ,CANNONDALE     ,"CADD9, R5000   ",27,MT,STOLEN,1800.0
600206,RED   ,CANNONDALE     ,R6 CAAD9       ,18,MT,STOLEN,1800.0
600207,WHIGRN,VAGABOND       ,FOLDING BIKE   ,6,OT,STOLEN,230.0
600208,GRYGRN,NEXT           ,,18,MT,STOLEN,110.0
600209,BLU   ,RALEIGH        ,UNKNOWN        ,1,OT,STOLEN,500.0
600210,BLK   ,OTHER          ,MASI CX        ,1,TO,STOLEN,1300.0
600211,DBL   ,CANNONDALE     ,CAAD4 R400     ,1,OT,STOLEN,640.0
600212,,SPECIALIZED    ,SIRRUS         ,21,RG,STOLEN,1000.0
600213,WHI   ,OTHER          ,FIXED GEAR     ,1,OT,STOLEN,
