timeID,hour,day,month,year,dayOfWeek
605718,20,1,June,2012,Friday    
650390,12,24,June,2012,Sunday    
625709,0,1,July,2012,Sunday    
645969,8,1,July,2012,Sunday    
775875,12,1,July,2012,Sunday    
740503,0,8,July,2012,Sunday    
616891,0,11,July,2012,Wednesday 
626769,17,17,July,2012,Tuesday   
623392,12,27,July,2012,Friday    
626904,18,28,July,2012,Saturday  
780305,2,29,July,2012,Sunday    
618380,0,1,August,2012,Wednesday 
690834,12,1,August,2012,Wednesday 
781509,18,7,August,2012,Tuesday   
626900,22,17,August,2012,Friday    
638602,8,22,August,2012,Wednesday 
640888,0,31,August,2012,Friday    
605523,0,1,September,2012,Saturday  
643747,2,1,September,2012,Saturday  
645775,0,12,September,2012,Wednesday 
677501,4,15,September,2012,Saturday  
719873,4,23,September,2012,Sunday    
646291,0,1,October,2012,Monday    
613121,12,1,October,2012,Monday    
751672,23,1,October,2012,Monday    
716358,9,27,October,2012,Saturday  
621458,0,28,October,2012,Sunday    
601557,0,1,November,2012,Thursday  
612003,9,1,November,2012,Thursday  
648926,12,1,November,2012,Thursday  
636120,22,22,November,2012,Thursday  
682024,0,23,November,2012,Friday    
612384,0,29,November,2012,Thursday  
645539,0,1,December,2012,Saturday  
619370,8,1,December,2012,Saturday  
716689,9,1,December,2012,Saturday  
600335,12,1,December,2012,Saturday  
613933,15,15,December,2012,Saturday  
647346,0,17,December,2012,Monday    
637006,0,23,December,2012,Sunday    
606767,0,26,December,2012,Wednesday 
614676,18,26,December,2012,Wednesday 
651178,0,27,December,2012,Thursday  
633598,20,30,December,2012,Sunday    
642281,7,31,December,2012,Monday    
600836,0,1,January,2013,Tuesday   
679995,6,1,January,2013,Tuesday   
600317,7,1,January,2013,Tuesday   
764438,8,1,January,2013,Tuesday   
618386,9,1,January,2013,Tuesday   
680574,10,1,January,2013,Tuesday   
608875,12,1,January,2013,Tuesday   
664167,17,1,January,2013,Tuesday   
760120,18,1,January,2013,Tuesday   
767768,21,1,January,2013,Tuesday   
647906,22,4,January,2013,Friday    
617054,0,5,January,2013,Saturday  
633708,4,5,January,2013,Saturday  
600718,16,5,January,2013,Saturday  
602812,18,5,January,2013,Saturday  
637331,0,7,January,2013,Monday    
658104,18,7,January,2013,Monday    
611579,10,9,January,2013,Wednesday 
618935,21,13,January,2013,Sunday    
600776,0,15,January,2013,Tuesday   
609242,12,15,January,2013,Tuesday   
657876,0,20,January,2013,Sunday    
657874,11,20,January,2013,Sunday    
651995,20,21,January,2013,Monday    
631897,12,23,January,2013,Wednesday 
615700,0,24,January,2013,Thursday  
659069,21,27,January,2013,Sunday    
614020,0,1,February,2013,Friday    
670296,7,1,February,2013,Friday    
707834,9,1,February,2013,Friday    
633360,23,1,February,2013,Friday    
700206,9,2,February,2013,Saturday  
627459,10,5,February,2013,Tuesday   
782698,0,7,February,2013,Thursday  
611977,0,9,February,2013,Saturday  
602412,10,10,February,2013,Sunday    
641733,16,12,February,2013,Tuesday   
623922,19,17,February,2013,Sunday    
623282,0,20,February,2013,Wednesday 
658182,18,25,February,2013,Monday    
645451,0,1,March,2013,Friday    
627377,7,1,March,2013,Friday    
610380,9,1,March,2013,Friday    
649515,15,1,March,2013,Friday    
677325,16,1,March,2013,Friday    
649926,9,5,March,2013,Tuesday   
632176,12,6,March,2013,Wednesday 
612186,17,14,March,2013,Thursday  
647865,9,15,March,2013,Friday    
647098,11,26,March,2013,Tuesday   
646322,12,27,March,2013,Wednesday 
651053,0,29,March,2013,Friday    
600361,9,31,March,2013,Sunday    
610241,14,31,March,2013,Sunday    
600932,0,1,April,2013,Monday    
687734,8,1,April,2013,Monday    
618405,11,1,April,2013,Monday    
660904,12,1,April,2013,Monday    
629214,14,1,April,2013,Monday    
615814,18,1,April,2013,Monday    
610495,8,13,April,2013,Saturday  
619188,14,16,April,2013,Tuesday   
606127,12,19,April,2013,Friday    
601207,21,21,April,2013,Sunday    
650425,18,22,April,2013,Monday    
611480,0,1,May,2013,Wednesday 
648402,6,1,May,2013,Wednesday 
647695,12,1,May,2013,Wednesday 
625441,15,1,May,2013,Wednesday 
650182,21,1,May,2013,Wednesday 
641207,20,9,May,2013,Thursday  
614613,20,13,May,2013,Monday    
604219,0,15,May,2013,Wednesday 
601673,0,1,June,2013,Saturday  
630722,8,1,June,2013,Saturday  
642991,9,1,June,2013,Saturday  
670134,10,1,June,2013,Saturday  
635588,12,1,June,2013,Saturday  
623120,14,1,June,2013,Saturday  
623989,16,1,June,2013,Saturday  
646243,18,1,June,2013,Saturday  
603919,20,1,June,2013,Saturday  
676850,12,4,June,2013,Tuesday   
614271,0,5,June,2013,Wednesday 
601115,0,11,June,2013,Tuesday   
658181,18,12,June,2013,Wednesday 
620225,22,14,June,2013,Friday    
633780,0,15,June,2013,Saturday  
652927,9,20,June,2013,Thursday  
712881,0,21,June,2013,Friday    
634129,10,23,June,2013,Sunday    
622163,10,24,June,2013,Monday    
654352,14,26,June,2013,Wednesday 
629591,3,27,June,2013,Thursday  
649805,17,29,June,2013,Saturday  
625703,12,30,June,2013,Sunday    
603614,0,1,July,2013,Monday    
623601,3,1,July,2013,Monday    
638605,12,1,July,2013,Monday    
646849,15,1,July,2013,Monday    
626986,20,1,July,2013,Monday    
643805,21,1,July,2013,Monday    
642455,12,3,July,2013,Wednesday 
713414,21,3,July,2013,Wednesday 
605868,8,9,July,2013,Tuesday   
625719,10,14,July,2013,Sunday    
607198,12,17,July,2013,Wednesday 
629562,14,28,July,2013,Sunday    
616853,0,1,August,2013,Thursday  
616501,3,1,August,2013,Thursday  
