time_id,hour,day,month,year,day_of_week
478,18,7,4,2014,2
479,7,9,4,2014,4
480,0,18,4,2014,6
481,13,18,4,2014,6
482,21,26,2,2014,4
483,0,7,4,2014,2
484,20,12,1,2014,1
485,22,12,1,2014,1
486,1,13,1,2014,2
487,1,30,1,2014,5
488,10,31,1,2014,6
489,20,31,1,2014,6
490,9,20,12,2013,6
491,3,19,2,2014,4
492,14,19,2,2014,4
493,2,23,2,2014,1
494,3,20,3,2014,5
495,5,20,3,2014,5
496,19,20,3,2014,5
497,9,19,7,2014,7
498,14,20,7,2014,1
499,13,20,7,2014,1
500,11,7,4,2014,2
501,20,17,9,2014,4
502,0,18,9,2014,5
503,21,12,9,2014,6
504,14,17,9,2014,4
505,3,18,9,2014,5
506,1,29,10,2014,4
507,15,18,1,2014,7
508,9,24,1,2014,6
509,8,24,1,2014,6
510,15,7,2,2014,6
511,1,23,5,2014,6
512,13,23,5,2014,6
513,13,16,9,2014,3
514,11,16,7,2014,4
515,2,16,7,2014,4
516,22,31,10,2014,6
517,23,31,10,2014,6
518,8,31,10,2014,6
519,16,31,5,2014,7
520,21,31,5,2014,7
521,2,5,7,2014,7
522,14,5,7,2014,7
523,15,22,2,2014,7
524,21,6,3,2014,5
525,3,29,3,2014,7
526,4,1,3,2014,7
527,5,1,3,2014,7
528,13,7,3,2014,6
529,9,10,3,2014,2
530,14,10,3,2014,2
531,15,17,3,2014,2
532,2,26,3,2014,4
533,18,26,3,2014,4
534,3,27,3,2014,5
535,16,27,3,2014,5
536,19,7,4,2014,2
537,18,9,4,2014,4
538,20,18,7,2014,6
539,16,25,7,2014,6
540,3,26,7,2014,7
541,6,29,10,2014,4
542,8,29,10,2014,4
543,22,27,10,2014,2
544,11,17,7,2014,5
545,12,20,9,2014,7
546,1,6,1,2014,2
547,0,12,1,2014,1
548,11,12,1,2014,1
549,21,6,1,2014,2
550,4,12,1,2014,1
551,2,13,1,2014,2
552,11,13,1,2014,2
553,16,14,1,2014,3
554,23,2,1,2014,5
555,17,8,1,2014,4
556,7,8,1,2014,4
557,22,15,1,2014,4
558,21,15,1,2014,4
559,16,5,1,2013,7
560,21,8,1,2014,4
561,22,10,1,2014,6
562,20,15,1,2014,4
563,14,17,1,2014,6
564,10,17,1,2014,6
565,11,6,1,2014,2
566,12,20,12,2013,6
567,23,13,1,2014,2
568,17,19,12,2013,5
569,11,7,1,2014,3
570,22,8,1,2014,4
571,14,10,1,2014,6
572,9,17,1,2014,6
573,16,17,1,2014,6
574,18,17,1,2014,6
575,3,16,2,2014,1
576,13,1,1,2014,4
577,0,2,1,2014,5
578,19,6,1,2014,2
579,17,13,1,2014,2
580,1,14,1,2014,3
581,22,6,1,2014,2
582,10,14,1,2014,3
583,17,12,1,2014,1
584,4,13,1,2014,2
585,8,13,1,2014,2
586,20,14,1,2014,3
587,20,30,1,2014,5
588,9,30,1,2014,5
589,12,11,2,2014,3
590,7,31,1,2014,6
591,17,30,1,2014,5
592,19,30,1,2014,5
593,5,7,1,2014,3
594,20,7,1,2014,3
595,0,15,1,2013,3
596,9,7,1,2014,3
597,12,7,1,2014,3
598,15,7,1,2014,3
599,16,7,1,2014,3
600,19,7,1,2014,3
601,10,9,1,2014,5
602,21,9,1,2014,5
603,11,16,1,2014,5
604,12,24,1,2014,6
605,16,24,1,2014,6
606,16,7,2,2014,6
607,18,8,1,2014,4
608,17,15,1,2014,4
609,22,17,1,2014,6
610,21,15,2,2014,7
611,17,17,2,2014,2
612,17,1,9,2013,1
613,9,17,2,2014,2
614,16,27,2,2014,5
615,16,1,4,2014,3
616,12,1,4,2014,3
617,7,16,3,2014,1
618,11,1,1,2014,4
619,19,7,2,2014,6
620,0,9,2,2014,1
621,7,9,2,2014,1
622,21,18,2,2014,3
623,23,7,3,2014,6
624,2,9,2,2014,1
625,13,26,2,2014,4
626,10,23,1,2014,5
627,1,8,2,2014,7
628,14,9,2,2014,1
629,10,18,2,2014,3
630,9,26,2,2014,4
631,17,10,3,2014,2
632,6,26,3,2014,4
633,12,19,4,2014,7
634,6,19,4,2014,7
635,20,6,3,2014,5
636,17,22,12,2013,1
637,0,1,1,2013,3
638,2,15,4,2014,3
639,9,12,4,2014,7
640,6,15,2,2014,7
641,19,27,2,2014,5
642,5,15,2,2014,7
643,21,8,3,2014,7
644,22,1,4,2014,3
645,17,8,4,2014,3
646,0,17,4,2014,5
647,23,17,4,2014,5
648,15,1,1,2014,4
649,19,24,4,2014,5
650,3,25,4,2014,6
651,8,8,5,2014,5
652,8,7,1,2014,3
653,17,9,1,2014,5
654,22,9,1,2014,5
655,8,19,3,2014,4
656,16,19,3,2014,4
657,0,27,9,2013,6
658,12,6,1,2014,2
659,5,6,1,2014,2
660,1,31,1,2014,6
661,20,11,2,2014,3
662,16,19,2,2014,4
663,20,19,2,2014,4
664,18,19,2,2014,4
665,1,23,2,2014,1
666,12,23,2,2014,1
667,5,28,2,2014,6
668,18,23,2,2014,1
669,0,20,3,2014,5
670,18,31,1,2014,6
671,11,20,3,2014,5
672,8,20,3,2014,5
673,22,19,3,2014,4
674,20,20,6,2011,2
675,14,7,4,2014,2
676,4,9,4,2014,4
677,17,9,4,2014,4
678,21,9,4,2014,4
679,8,10,4,2014,5
680,18,10,4,2014,5
681,6,11,1,2014,7
682,1,19,1,2014,1
683,21,19,1,2014,1
684,22,21,1,2014,3
685,21,12,2,2014,4
686,4,21,2,2014,6
687,14,21,2,2014,6
688,4,22,2,2014,7
689,12,6,3,2014,5
690,11,6,3,2014,5
691,1,12,3,2014,4
692,15,12,3,2014,4
693,1,23,3,2014,1
694,5,23,3,2014,1
695,18,29,3,2014,7
696,21,29,3,2014,7
697,1,30,3,2014,1
698,23,14,8,2014,5
699,20,11,1,2014,7
700,13,22,1,2014,4
701,20,15,4,2014,3
702,0,1,4,2013,2
703,20,15,12,2013,1
704,17,6,3,2014,5
705,18,14,2,2014,6
706,12,11,1,2014,7
707,12,16,7,2014,4
708,14,11,1,2014,7
709,0,19,1,2014,1
710,10,20,1,2014,2
711,20,20,1,2014,2
712,14,21,1,2014,3
713,9,22,1,2014,4
714,15,21,1,2014,3
715,5,3,1,2014,6
716,12,7,4,2014,2
717,6,18,4,2014,6
718,7,18,4,2014,6
719,12,10,4,2014,5
720,0,10,4,2014,5
721,20,27,4,2014,1
722,2,2,5,2014,6
723,21,3,6,2014,3
724,5,11,6,2014,4
725,13,16,6,2014,2
726,12,16,6,2014,2
727,10,19,6,2014,5
728,20,19,6,2014,5
729,22,20,6,2014,6
730,9,18,7,2014,6
731,2,19,7,2014,7
732,7,19,7,2014,7
733,17,20,7,2014,1
734,15,25,7,2014,6
735,12,20,2,2014,5
736,20,20,2,2014,5
737,20,21,2,2014,6
738,14,6,3,2014,5
739,23,23,3,2014,1
740,2,30,3,2014,1
741,3,5,4,2014,7
742,3,12,4,2014,7
743,8,12,4,2014,7
744,8,15,4,2014,3
745,13,21,4,2014,2
746,20,28,4,2014,2
747,15,28,4,2014,2
748,17,5,5,2014,2
749,8,15,5,2014,5
750,20,15,5,2014,5
751,14,29,5,2014,5
752,12,29,5,2014,5
753,15,29,5,2014,5
754,18,29,5,2014,5
755,13,29,5,2014,5
756,9,6,6,2014,6
757,12,13,6,2014,6
758,1,14,6,2014,7
759,1,23,6,2014,2
760,17,17,10,2014,6
761,4,22,6,2014,1
762,7,23,6,2014,2
763,18,2,11,2014,1
764,20,2,11,2014,1
765,10,10,2,2014,2
766,15,16,4,2014,4
767,12,25,10,2013,6
768,14,28,5,2014,4
769,22,10,2,2014,2
770,22,1,6,2014,1
771,3,1,6,2014,1
772,23,10,6,2014,3
773,0,19,5,2014,2
774,8,28,5,2014,4
775,21,18,8,2014,2
776,18,12,12,2014,6
777,12,28,6,2014,7
778,21,2,2,2014,1
779,18,3,7,2014,5
780,23,18,3,2015,4
781,15,28,10,2014,3
782,11,22,3,2014,7
783,17,28,11,2014,6
784,11,10,5,2014,7
785,0,1,5,2014,5
786,8,9,6,2014,2
787,12,30,7,2014,4
788,18,18,6,2014,4
789,14,1,5,2014,5
790,9,19,5,2014,2
791,17,11,7,2014,6
792,12,9,7,2014,4
793,9,10,8,2014,1
794,3,12,12,2014,6
795,1,12,10,2014,1
796,9,11,11,2014,3
797,10,18,11,2014,3
798,3,18,11,2014,3
799,9,20,11,2014,5
800,19,28,6,2014,7
801,2,29,11,2014,7
802,15,26,6,2014,5
803,15,23,9,2014,3
804,2,13,7,2014,1
805,23,22,8,2014,6
806,10,14,5,2014,4
807,18,14,5,2014,4
808,22,12,7,2014,7
809,17,30,7,2014,4
810,21,23,1,2015,6
811,21,31,1,2015,7
812,3,12,7,2014,7
813,18,13,9,2014,7
814,20,22,9,2014,2
815,12,31,7,2014,5
816,20,8,10,2014,4
817,6,12,7,2014,7
818,9,30,7,2014,4
819,1,31,7,2014,5
820,3,31,7,2014,5
821,10,31,7,2014,5
822,23,31,7,2014,5
823,12,22,4,2014,3
824,6,5,8,2014,3
825,0,4,1,2014,7
826,15,5,1,2014,1
827,1,28,1,2014,3
828,12,15,6,2014,1
829,14,28,1,2014,3
830,23,28,1,2014,3
831,4,29,1,2014,4
832,9,29,1,2014,4
833,16,29,1,2014,4
834,23,4,1,2014,7
835,0,5,1,2014,1
836,7,29,10,2014,4
837,21,29,6,2014,1
838,0,1,11,2014,7
839,16,11,9,2014,5
840,16,30,10,2014,5
841,23,11,9,2014,5
842,16,25,8,2014,2
843,0,16,8,2014,7
