event_id,make,model,bike_type,colour,speed,cost,status
800299,OTHER          ,REACTOR ADAMS  ,MT,,12,,UNKNOWN
800300,VITESSE        ,CUSTOM         ,RC,WHI   ,24,10000,STOLEN
800301,RALEIGH        ,TORO           ,MT,BLK   ,10,230,STOLEN
800302,TREK           ,7100,OT,GRN   ,21,800,STOLEN
800303,OTHER          ,,OT,LBL   ,1,,STOLEN
800304,KH             ,URBAN EXPRESS  ,RG,TAN   ,99,,RECOVERED
800305,OTHER          ,GARDEAU        ,TO,GRY   ,12,900,STOLEN
800306,DAVINCI        ,JACK           ,MT,BLU   ,28,1000,STOLEN
800307,SCHWINN        ,,TO,GRY   ,8,300,STOLEN
800308,SPORTEK        ,,MT,MRN   ,10,,STOLEN
800309,CCM            ,SUPERCYCLE     ,MT,SIL   ,5,50,STOLEN
800310,URBANITE       ,,OT,WHI   ,21,,RECOVERED
800311,JAMIS          ,X-2 TRAILER    ,MT,WHIGRN,3,,STOLEN
800312,UNKNOWN MAKE   ,UNKNOWN        ,OT,BLK   ,0,,STOLEN
800313,MONGOOSE       ,,OT,DGR   ,5,250,STOLEN
800314,BIANCHI        ,,OT,GRY   ,10,300,STOLEN
800315,EMMO           ,H5             ,EL,WHI   ,1,,STOLEN
800316,CANNONDALE     ,SWIFT          ,MT,,21,600,STOLEN
800317,CANNONDALE     ,MOUNTIN BIKE   ,MT,BLKGRN,1,500,STOLEN
800318,UNKNOWN MAKE   ,KOKUA          ,RG,BLU   ,0,400,STOLEN
800319,SPECIALIZED    ,SPORT          ,RC,BLU   ,10,900,STOLEN
800320,MARIN OR MARINO,UNKNOWN        ,TO,GRY   ,18,700,STOLEN
800321,SUPERCYCLE     ,,RG,RED   ,10,200,STOLEN
800322,BRODIE         ,,MT,,21,2000,STOLEN
800323,MEST           ,WICKED         ,MT,BLKWHI,21,150,STOLEN
800324,TREK           ,7000,BM,BLK   ,8,400,STOLEN
800325,NEXT           ,,MT,WHIBLK,18,200,STOLEN
800326,SUPERCYCLE     ,8105-19CT      ,OT,WHI   ,1,179.99,STOLEN
800327,OTHER          ,,RC,BLU   ,16,600,STOLEN
800328,CHARGE         ,GRATER         ,OT,BLK   ,8,900,STOLEN
800329,OTHER          ,WEINMANN       ,OT,,0,,STOLEN
800330,OTHER          ,RETROSPEC      ,OT,GRY   ,1,300,STOLEN
800331,NORCO          ,U/K            ,TO,YELWHI,1,,STOLEN
800332,CCM            ,,MT,BLKGRY,18,,STOLEN
800333,PARKPRU        ,,MT,GRYSIL,0,,UNKNOWN
800334,EGO            ,G FORCE        ,EL,WHI   ,4,1800,STOLEN
800335,TREK           ,,MT,GRY   ,21,300,STOLEN
800336,GIANT          ,,MT,SIL   ,21,400,STOLEN
800337,NEXT           ,24' B HIGH PEAK,OT,BLK   ,6,78,STOLEN
800338,SUPERCYCLE     ,UNK            ,MT,DGR   ,8,120,STOLEN
800339,FUJI           ,NEWEST         ,OT,GRY   ,21,,STOLEN
800340,OTHER          ,TEVBIKE        ,EL,WHI   ,1,1100,STOLEN
