event_id,make,model,bike_type,colour,speed,cost,status
191341,TREK,,TO,BLU,18,800,STOLEN
191342,TREK,7300 INKWELL,OT,BLU,18,800,STOLEN
191343,EM,MAX,EL,BLK,50,2000,STOLEN
191344,BROADIE,,MT,GLDBRN,21,450,STOLEN
191345,GI,TRANCE,MT,WHI,12,2700,STOLEN
191346,CANNONDALE,JEKYLL,MT,REDWHI,24,3000,STOLEN
191347,OTHER,CHOPPER,OT,OTH,1,100,STOLEN
191348,GIANT`,,MT,GRN,18,792,STOLEN
191349,EMMO,EMMO,EL,BLK,1,560,STOLEN
191350,OTHER,MONACO,EL,BLK,1,1200,STOLEN
191351,UNKNOWN MAKE,,OT,,18,200,STOLEN
191352,GI,,OT,GRY,16,600,STOLEN
191353,PEUGOT,ROAD BIKE,RC,ONG,1,400,STOLEN
191354,ROCKYMOUNTAIN,ELEMENT 10,MT,WHI,1,2000,STOLEN
191355,NO,VFR 3,OT,SIL,18,500,STOLEN
191356,CCM,,MT,WHI,10,450,STOLEN
191357,NO,,RC,TRQ,12,400,STOLEN
191358,EMMO,GT5,EL,BLK,0,500,UNKNOWN
191359,KO,DEW 59 BLK,MT,BLK,21,700,STOLEN
191360,FUJI,UNKNOWN,MT,GRY,12,100,STOLEN
191361,CCM,MUD SLIDE,RG,ONG,15,,STOLEN
191362,UNKNOWN MAKE,NONE,OT,BLK,1,,STOLEN
191363,AMMO,30XL,EL,GLD,4,2700,STOLEN
191364,UK,GOLD SERIES X 3,SC,GLD,30,,STOLEN
191365,TR,7.1 FX,RG,BLK,21,500,STOLEN
191366,KHS,TR-101,RG,BLK,18,1200,STOLEN
191367,SCHWINN,,OT,RED,21,299,STOLEN
191368,CANNONDALE,MOUNTIN BIKE,MT,BLKGRN,1,500,STOLEN
191369,UNKNOWN MAKE,KOKUA,RG,BLU,0,400,STOLEN
191370,KO,CINDERCONE,MT,GRY,12,1500,STOLEN
191371,CCM,,OT,SIL,0,300,STOLEN
191372,OT,PURE PR01,RC,BLK,30,2700,STOLEN
191373,RA,FURLEY,OT,BLK,1,850,STOLEN
191374,GF,,MT,WHI,24,500,STOLEN
191375,GIANT,ESCAPE 3,OT,,21,400,STOLEN
191376,CC,VANDAL24,MT,BLUWHI,21,,UNKNOWN
191377,BI,,RG,WHI,4,900,STOLEN
191378,TR,,RG,GRY,18,850,STOLEN
191379,TR,,RG,BLU,7,600,STOLEN
191380,OTHER,,MT,,18,600,RECOVERED
191381,SA,BULLIT,MT,DGR,24,3500,STOLEN
191382,GIANT,NRS COMP,MT,,21,9500,STOLEN
191383,UNKNOWN,UNKNOWN,EL,ONG,2,1200,STOLEN
191384,GLOBE,VIENNA 3,OT,BLK,18,900,STOLEN
191385,KO,BLAST,MT,WHI,21,0,STOLEN
191386,SPECIALIZED,CROSS TRAIL,MT,REDBLK,24,600,STOLEN
191387,UNKNOWN MAKE,U/K,EL,,5,900,STOLEN
191388,CANNONDALE,,MT,BLU,10,4000,STOLEN
191389,OTHER,WALMART,RG,BLU,5,160,STOLEN
191390,OT,CONTENDER,RC,SIL,1,1500,STOLEN
191391,MA,,MT,SIL,35,500,STOLEN
191392,KONA,,MT,SIL,21,800,STOLEN
191393,GT,,MT,BLK,27,600,STOLEN
191394,CANNONDALE,QUICK 5,MT,BLK,21,900,STOLEN
191395,CANNONDALE,QUICK SI,MT,WHIPLE,21,900,STOLEN
191396,NONE,NONE,OT,BLU,0,,STOLEN
191397,RALEIGH,SUPERBE,OT,BRZGRN,1,400,STOLEN
191398,NO,VFR 1,OT,RED,27,1300,STOLEN
191399,JAMIS,XCT,MT,LGR,27,1600,STOLEN
191400,CC,,RG,MRN,21,0,STOLEN
191401,CANNONDALE,"CADD9, R5000",MT,BLU,27,1800,STOLEN
191402,CANNONDALE,R6 CAAD9,MT,RED,18,1800,STOLEN
191403,NO,,RG,BLK,1,450,STOLEN
191404,OT,CAFE 3,RG,SIL,3,400,STOLEN
191405,VAGABOND,FOLDING BIKE,OT,WHIGRN,6,230,STOLEN
191406,EM,URBAN,EL,BLK,30,800,STOLEN
191407,NEXT,,MT,GRYGRN,18,110,STOLEN
191408,TREK,MOUNTAIN BIKE,MT,,9,7000,STOLEN
191409,RALEIGH,UNKNOWN,OT,BLU,1,500,STOLEN
191410,RM,METRO 30,OT,WHI,18,0,STOLEN
191411,RA,MATTERHORN,MT,OTH,18,175,STOLEN
191412,OTHER,MASI CX,TO,BLK,1,1300,STOLEN
191413,KH,URBAN SOUL,OT,BLK,1,500,STOLEN
191414,CANNONDALE,CAAD4 R400,OT,DBL,1,640,STOLEN
191415,OT,,RG,BLK,21,2000,STOLEN
191416,OT,7005,RC,BLU,21,200,STOLEN
191417,SPECIALIZED,SIRRUS,RG,,21,1000,STOLEN
191418,OTHER,FIXED GEAR,OT,WHI,1,,STOLEN
191419,UNKNOWN MAKE,,OT,,5,200,STOLEN
191420,CARRERA,UNKNOWN,OT,BLUGRY,1,500,STOLEN
191421,NO,,RG,BLU,21,430,STOLEN
191422,CANNONDALE,LEFTY,MT,LBL,27,500,STOLEN
191423,OT,SIRRUS,OT,WHI,18,800,STOLEN
191424,GIANT,ALIGHT 3,MT,WHI,7,588.7,STOLEN
191425,JAMIS,KOMODO II,MT,GRYWHI,0,1200,STOLEN
191426,OTHER,,OT,,0,300,STOLEN
191427,EMMO,,EL,REDBLK,1,900,STOLEN
191428,EMMO,ALIEN,EL,RED,2,1000,STOLEN
191429,IN,BACKROADS,MT,RED,21,232,STOLEN
191430,IN,COSMO,MT,SIL,21,200,STOLEN
191431,OT,UNKNOWN,MT,BLU,99,,UNKNOWN
191432,SUPERCYCLE,,MT,GRYBLU,0,200,RECOVERED
191433,OT,UNIBOMBER,MT,GRN,1,2000,STOLEN
191434,KNIFE,COMPRESSION,OT,BLK,18,500,STOLEN
191435,OT,GLOBE COMP,RG,GRY,8,800,STOLEN
191436,PEUGEOT,,RG,,0,,STOLEN
191437,SPECIALIZED,EPIC,RG,PLE,11,1000,STOLEN
191438,TREK,,MT,BLK,21,600,STOLEN
191439,NORCO,,MT,BLU,21,600,STOLEN
191440,GARY FISHER,PIRAHNA,MT,RED,21,550,STOLEN
191441,SUPERCYCLE,,OT,BLU,3,,STOLEN
191442,SUPERCYCLE,,RG,RED,10,300,STOLEN
191443,KO,DEW,RG,BLK,24,600,STOLEN
191444,OTHER,,RG,WHI,1,300,STOLEN
191445,OTHER,,RG,GRN,1,300,STOLEN
191446,SPECIALIZED,SIRRUS,RG,GRY,21,863,STOLEN
191447,GT,AVALANCHE,MT,BLK,21,1200,STOLEN
191448,IN,COULOIR,RG,BLU,21,300,STOLEN
191449,OTHER,,BM,BLK,0,200,STOLEN
191450,EMMO,,EL,BLK,0,700,STOLEN
191451,NAKAMURA,UNKNOWN,MT,MRN,5,200,STOLEN
191452,SPECIALIZED,SIRRUS ELITE,MT,SILRED,5,829,STOLEN
191453,CCM,,OT,WHI,0,700,STOLEN
191454,RALEIGH,,MT,BLK,3,300,STOLEN
191455,CCM,,FO,WHI,1,400,STOLEN
191456,OTHER,1700 SERIES,OT,BLU,1,3041,STOLEN
191457,UK,MODENA 2014,MT,BLK,21,369.99,STOLEN
191458,UNKNOWN MAKE,,RG,RED,0,100,STOLEN
191459,OT,,RG,DBL,1,250,STOLEN
191460,SPECIALIZED,HARD ROCK SPORT,MT,BLKRED,21,900,STOLEN
191461,INFINITY,SUPERIOR BRAVO,MT,,21,250,STOLEN
191462,GI,,MT,BLU,25,600,STOLEN
191463,CC,,RG,BLU,18,,STOLEN
191464,OTHER,,MT,YELBLK,21,150,STOLEN
191465,OT,,OT,GRY,24,1500,STOLEN
191466,JAMIES,VENTURE SPORT,OT,GRY,16,639.99,STOLEN
191467,OTHER,,SC,MRN,1,2000,STOLEN
191468,ENNO,,EL,BLKGRY,1,1750,STOLEN
191469,TR,,MT,GRY,18,,STOLEN
191470,OTHER,,MT,,12,,UNKNOWN
191471,UNKNOWN MAKE,SOUL,MT,,12,,RECOVERED
191472,GREEN KHS SOUL,HYBRID,RG,,0,,UNKNOWN
191473,OT,2011,OT,BLK,20,750,STOLEN
191474,KONA,,OT,BLKWHI,18,800,STOLEN
191475,SUPERCYCLE,IMPULSE SE,MT,PNKSIL,10,,STOLEN
191476,KONA,,TO,BGE,18,800,STOLEN
191477,OTHER,ROUBAIX,RC,BLU,18,2000,STOLEN
191478,OTHER,RAZOR POCKET,SC,GRY,1,150,STOLEN
191479,SU,,RG,BLU,18,350,STOLEN
191480,SPECIALIZED,VITA,OT,BLU,18,1000,STOLEN
191481,GIANT,SEEK2,OT,BLK,18,630,STOLEN
191482,EMMO,,EL,WHI,3,1121,STOLEN
191483,INFINITY,,OT,GLDSIL,21,300,STOLEN
191484,INFINITY,,MT,SIL,21,159,STOLEN
191485,CCM,,MT,BLK,12,200,STOLEN
191486,OTHER,DCO,MT,SIL,21,425,STOLEN
191487,RALEIGH,SERENGETI,MT,SIL,24,1070,STOLEN
191488,MIELE,ONXA,MT,SIL,21,995,STOLEN
191489,GIANT,RAPID 2,MT,BLUWHI,21,1400,STOLEN
191490,KONA,DOOR PRIDE,OT,BLU,1,850,STOLEN
191491,SC,,TO,PLE,18,0,STOLEN
191492,JAMIS,,TO,BLUBLK,1,450,STOLEN
191493,OTHER,BMC,BM,,18,5199,STOLEN
191494,SPECIALIZED,ALLEZ,RC,REDWHI,10,1000,STOLEN
191495,EVERYDAY,COMFORT BIKE,RG,WHI,21,,STOLEN
191496,GIANT,DEFY,RC,BLU,15,1700,STOLEN
191497,GT,3,MT,BLK,21,299,STOLEN
191498,NEXT,BREAK POINT,MT,RED,21,0,STOLEN
191499,SU,SC 26 CRUISER,TO,BLK,1,200,STOLEN
191500,OTHER,,MT,,1,185,STOLEN
