,timeID,hour,day,month,year,dayofweek
61861,114404,09,14,5,2018,2
61862,114405,01,16,5,2018,4
61863,114406,15,6,5,2018,1
61864,114407,08,15,5,2018,3
61865,114409,00,16,5,2018,4
61866,114410,21,14,1,2018,1
61867,114411,01,17,5,2018,5
61868,114412,02,17,5,2018,5
61869,114413,13,10,5,2018,5
61870,114414,21,10,5,2018,5
61871,114415,14,13,5,2018,1
61872,114416,09,18,5,2018,6
61873,114417,14,18,5,2018,6
61874,114418,10,30,12,2017,7
61875,114419,23,30,12,2017,7
61876,114420,00,4,1,2018,5
61877,114422,19,21,12,2017,5
61878,114425,09,3,1,2018,4
61879,114426,13,23,12,2017,7
61880,114427,13,17,12,2017,1
61881,114428,08,4,1,2018,5
61882,114429,18,4,1,2018,5
61883,114432,17,12,12,2017,3
61884,114435,06,9,1,2018,3
61885,114436,16,10,1,2018,4
61886,114437,19,3,1,2018,4
61887,114438,19,16,12,2017,7
61888,114439,12,12,1,2018,6
61889,114440,17,12,1,2018,6
61890,114441,07,19,8,2017,7
61891,114442,16,13,1,2018,7
61892,114443,12,11,1,2018,5
61893,114444,00,16,9,2018,1
61894,114445,23,12,7,2018,5
61895,114446,09,29,7,2018,1
61896,114447,18,21,6,2018,5
61897,114448,20,21,2,2018,4
61898,114450,19,19,8,2018,1
61899,114451,12,20,6,2018,4
61900,114452,22,29,7,2018,1
61901,114454,11,15,9,2018,7
61902,114455,11,20,8,2018,2
61903,114456,17,11,7,2018,4
61904,114457,22,13,7,2018,6
61905,114459,21,16,9,2018,1
61906,114460,17,16,9,2018,1
61907,114462,05,18,9,2018,3
61908,114463,12,17,9,2018,2
61909,114464,20,14,9,2018,6
61910,114465,16,14,9,2018,6
61911,114466,21,9,9,2018,1
61912,114467,10,19,9,2018,4
61913,114468,18,18,9,2018,3
61914,114470,00,19,9,2018,4
61915,114475,05,20,9,2018,5
61916,114478,17,20,9,2018,5
61917,114480,19,16,9,2018,1
61918,114481,00,21,9,2018,6
61919,114483,22,17,9,2018,2
61920,114484,11,20,9,2018,5
61921,114485,01,21,9,2018,6
61922,114486,21,15,9,2018,7
61923,114487,11,22,9,2018,7
61924,114488,16,28,1,2018,1
61925,114489,13,20,9,2018,5
