hood_id,name,division,high_school,university,technical_degree,employment_rate
43,Victoria Village,D54,22.406639,42.85714286,17.36810907,53.65
77,Waterfront Communities-The Island,D51,9.013780059,80.85922724,8.07349365,78.15
136,West Hill,D43,26.24591503,34.47712418,18.89297386,51.85
1,West Humber-Clairville,D23,27.15379706,37.97064454,16.03382259,58.05
35,Westminster-Branson,D32,19.3233345,57.09801186,14.00418556,56.65
113,Weston,D12,26.90698423,30.60830383,19.11812037,55.75
91,Weston-Pelham Park,D11,25.49212598,30.06889764,13.97637795,58
119,Wexford/Maryvale,D41,27.63358779,39.69465649,15.89694656,56.15
51,Willowdale East,D32,13.73899119,72.91433147,8.366693355,56.25
37,Willowdale West,D32,15.55996036,67.88899901,9.588701685,52.7
7,Willowridge-Martingrove-Richview,D23,23.98064962,46.00322506,14.16724257,53.9
137,Woburn,D43,26.19331742,41.21917263,14.98607796,52.1
64,Woodbine Corridor,D55,15.92749711,59.46779792,13.57500964,66.35
60,Woodbine-Lumsden,D54,21.79566563,50.34055728,15.29411765,65.55
94,Wychwood,D13,15.84604716,59.39667129,11.85852982,65.85
100,Yonge-Eglinton,D53,10.03508772,76.98245614,8.947368421,68.45
97,Yonge-St.Clair,D53,11.73814898,76.20122541,9.093840697,66.05
27,York University Heights,D32,26.11298167,40.6285073,14.08529742,56.3
31,Yorkdale-Glen Park,D32,25.48945783,35.35391566,13.21536145,55.45
